RECODE of EUSUPP (Support of country's membership in EU)	Frequency	Lower Bound	Upper Bound
DK/RA	0.1515	0.1226	0.1857
Do not support	0.1649	0.1421	0.1906
In the middle	0.2672	0.2367	0.3001
Support	0.4164	0.3829	0.4506

