RECODE of NATOSUPP (Support of country's membership in NATO)	Frequency	Lower Bound	Upper Bound
DK/RA	0.1300	0.1063	0.1581
Do not support	0.0626	0.0465	0.0838
In the middle	0.1377	0.1092	0.1723
Support	0.6696	0.6266	0.7100

