RECODE of EUSUPP (Support of country's membership in EU)	Frequency	Lower Bound	Upper Bound
DK/RA	0.0975	0.0794	0.1193
Do not support	0.0812	0.0657	0.1000
In the middle	0.1718	0.1412	0.2073
Support	0.6495	0.6090	0.6880

