RECODE of NATOSUPP (Support of country's membership in NATO)	Frequency	Lower Bound	Upper Bound
DK/RA	0.1099	0.0905	0.1327
Do not support	0.1241	0.1004	0.1526
In the middle	0.1853	0.1537	0.2216
Support	0.5807	0.5392	0.6212

